"","Name","Total","Rank","Award","Year"
"2","Bohuslav Diviš",40,1,"Gold",1959
"3","György Csanak",37,2,"Gold",1959
"4","Basarab Nicolescu",37,2,"Gold",1959
"5","Gábor Halász",36,4,"Silver",1959
"6","Cristian Berthaler",36,4,"Silver",1959
"7","Cezar Gheorghe",36,4,"Silver",1959
"8","György Muszély",35,7,"Bronze",1959
"9","Virgil Brişcă",35,7,"Bronze",1959
"10","Béla Bollobás",34,9,"Bronze",1959
"11","Andrei Tom",34,9,"Bronze",1959
"12","Mihail Vrăjitoru",33,11,"Bronze",1959
"13","Viktor Fedorev",32,12,"Honourable mention",1959
"14","Domokos Szász",31,13,"Honourable mention",1959
"15","Ivan Titelnikov",30,14,"Honourable mention",1959
"16","Valeriy Frolov",30,14,"Honourable mention",1959
"17","Karel Šmuk",29,16,"Honourable mention",1959
"18","Jiří Moudrý",28,17,"Honourable mention",1959
"19","Jiří Votava",28,17,"Honourable mention",1959
"20","Viorel Barbu",28,17,"Honourable mention",1959
"21","Zdislav Kovářík",25,20,"Honourable mention",1959
"22","Jan Tóke",25,20,"Honourable mention",1959
"23","Ferenc Mezei",24,22,NA,1959
"24","?",23,23,NA,1959
"25","Petr Balarev",22,24,NA,1959
"26","?",21,25,NA,1959
"27","Ambrus Tihanyi",21,25,NA,1959
"28","?",21,25,NA,1959
"29","Ventseslav Andreichev",20,38,NA,1959
"30","*",20,28,NA,1959
"31","Rafail Zlatarov",19,31,NA,1959
"32","*",19,29,NA,1959
"33","*",18,30,NA,1959
"34","*",16,32,NA,1959
"35","Tsvetana Penkovska",15,33,NA,1959
"36","Gyula Katona",15,33,NA,1959
"37","Aleksander Chetajev",15,33,NA,1959
"38","?",12,36,NA,1959
"39","*",11,37,NA,1959
"40","Ljubozar Dimitrov",10,38,NA,1959
"41","Nedka Ivanova",9,40,NA,1959
"42","?",9,40,NA,1959
"43","*",9,40,NA,1959
"44","Todor Todorov",8,43,NA,1959
"45","*",8,43,NA,1959
"46","*",6,45,NA,1959
"47","*",6,45,NA,1959
"48","*",6,45,NA,1959
"49","*",5,48,NA,1959
"50","*",4,49,NA,1959
"51","*",4,49,NA,1959
"52","*",3,51,NA,1959
"53","*",2,52,NA,1959
"54","Ivan Korec",43,1,"Gold",1960
"55","Ferenc Mezei",43,1,"Gold",1960
"56","Béla Bollobás",41,3,"Gold",1960
"57","Cezar Gheorghe",41,3,"Gold",1960
"58","Nicolae Popa",39,5,"Silver",1960
"59","György Muszély",38,6,"Silver",1960
"60","Jiří Souček",37,7,"Silver",1960
"61","József Fritz",37,7,"Silver",1960
"62","Petr Petrov",35,9,"Bronze",1960
"63","Petr Tomšů",34,10,"Bronze",1960
"64","Şerban Strătilă",34,10,"Bronze",1960
"65","Jan Veselý",33,12,"Bronze",1960
"66","Ladislav Baran",32,13,"Honourable mention",1960
"67","Pavel Nosek",32,13,"Honourable mention",1960
"68","Todor Bojanov",31,15,"Honourable mention",1960
"69","Basarab Nicolescu",30,16,"Honourable mention",1960
"70","Panaiot Vlaev",29,17,"Honourable mention",1960
"71","János Komlós",29,17,"Honourable mention",1960
"72","Stamen Chakrov",28,19,NA,1960
"73","?",28,19,NA,1960
"74","?",27,21,NA,1960
"75","?",26,22,NA,1960
"76","?",24,23,NA,1960
"77","?",23,24,NA,1960
"78","Nikola Arbov",22,25,NA,1960
"79","?",22,25,NA,1960
"80","András Gagyi Pálffy",21,27,NA,1960
"81","György Grűner",21,27,NA,1960
"82","János Hahn",18,29,NA,1960
"83","Klaus Walter",16,30,"Honourable mention",1960
"84","Krasimir Trkalanov",14,31,NA,1960
"85","Breizitsa Popova",10,32,NA,1960
"86","*",10,32,NA,1960
"87","Georgi Demirev",6,34,NA,1960
"88","*",6,34,NA,1960
"89","*",4,36,NA,1960
"90","*",2,37,NA,1960
"91","*",0,38,NA,1960
"92","*",0,38,NA,1960
"93","Béla Bollobás",40,1,"Gold",1961
"94","Maciej Skwarczyński",39,2,"Gold",1961
"95","József Kóta",37,3,"Gold",1961
"96","Gerzson Kéry",36,4,"Silver",1961
"97","István Juhász",34,5,"Silver",1961
"98","Miklós Simonovits",34,5,"Silver",1961
"99","Constantin Năstăsescu",34,5,"Silver",1961
"100","Tomáš Jech",33,8,"Bronze",1961
"101","László Gálfi",33,8,"Bronze",1961
"102","Thomas Görnitz",31,10,"Bronze",1961
"103","Tudor Zamifrescu",30,11,"Bronze",1961
"104","László Góth",29,12,"Honourable mention",1961
"105","Marcin Kuczma",29,12,"Honourable mention",1961
"106","Marian Osiewicz",29,12,"Honourable mention",1961
"107","Atanas Atanasov",28,15,"Honourable mention",1961
"108","*",28,15,"Honourable mention",1961
"109","József Fritz",27,17,"Honourable mention",1961
"110","*",27,17,"Honourable mention",1961
"111","*",26,19,"Honourable mention",1961
"112","*",26,19,"Honourable mention",1961
"113","?",25,21,"Honourable mention",1961
"114","?",24,22,"Honourable mention",1961
"115","*",24,22,"Honourable mention",1961
"116","Heike Wenzel",23,24,"Honourable mention",1961
"117","*",23,24,"Honourable mention",1961
"118","*",23,24,"Honourable mention",1961
"119","Mary Schleifstein",22,27,"Honourable mention",1961
"120","?",21,28,"Honourable mention",1961
"121","Gerd Naß",20,29,"Honourable mention",1961
"122","*",20,29,"Honourable mention",1961
"123","Atanaska Stoianova",18,31,NA,1961
"124","?",16,32,NA,1961
"125","*",16,32,NA,1961
"126","Kamen Koev",15,34,NA,1961
"127","?",15,34,NA,1961
"128","Rumen Maleev",14,36,NA,1961
"129","Rumiana Proikova",14,36,NA,1961
"130","*",14,36,NA,1961
"131","?",14,36,NA,1961
"132","Nikolai Budakov",13,40,NA,1961
"133","?",13,40,NA,1961
"134","*",13,40,NA,1961
"135","?",12,43,NA,1961
"136","*",12,43,NA,1961
"137","?",12,43,NA,1961
"138","*",11,46,NA,1961
"139","Todor Bulev",4,47,NA,1961
"140","Milka Popova",2,48,NA,1961
"141","Iosif Bernstein",46,1,"Gold",1962
"142","Gerzson Kéry",45,2,"Gold",1962
"143","Lidia Goncarova",42,3,"Gold",1962
"144","Zoltán Sebestyén",41,4,"Gold",1962
"145","László Gálfi",39,5,"Silver",1962
"146","József Kóta",39,5,"Silver",1962
"147","Marcin Kuczma",39,5,"Silver",1962
"148","Gheorghe Eckstein",39,5,"Silver",1962
"149","Ferenc Szidarovszky",38,9,"Silver",1962
"150","Aleksandru Buimovici",38,9,"Silver",1962
"151","Bojan Marinov Bonev",37,11,"Silver",1962
"152","Aleksei Potepun",37,11,"Silver",1962
"153","Grigori Margulis",36,13,"Silver",1962
"154","Peter Hatala",35,14,"Silver",1962
"155","George Lusztig",35,14,"Silver",1962
"156","Karl-Heinz Tetsch",34,16,"Silver",1962
"157","Miroslav Svetoslav Tanusev",33,17,"Bronze",1962
"158","Jaroslav Ježek",33,17,"Bronze",1962
"159","Jacek Wołejszo",33,17,"Bronze",1962
"160","Bozidar Dimitrov Kacarov",32,20,"Bronze",1962
"161","András Benczúr",32,20,"Bronze",1962
"162","Miklós Simonovits",32,20,"Bronze",1962
"163","Jan Rempała",32,20,"Bronze",1962
"164","Lucian Bădescu",32,20,"Bronze",1962
"165","Florea Hantila",32,20,"Bronze",1962
"166","Genadi Kuranov",31,26,"Bronze",1962
"167","Josef Daneš",30,27,"Bronze",1962
"168","Ewa Hensz",30,27,"Bronze",1962
"169","Radu Puha",30,27,"Bronze",1962
"170","Daniar Mustari",30,27,"Bronze",1962
"171","Karel Veselý",29,31,"Bronze",1962
"172","Jan Żytkow",28,32,NA,1962
"173","?",28,32,NA,1962
"174","Nikola Vedelev",26,34,NA,1962
"175","Milena Ivanova",25,35,NA,1962
"176","Jan Novotný",23,36,NA,1962
"177","Pavol Voda",23,36,NA,1962
"178","András Gyárfás",23,36,NA,1962
"179","?",23,36,NA,1962
"180","*",22,40,NA,1962
"181","*",21,41,NA,1962
"182","*",21,41,NA,1962
"183","*",21,41,NA,1962
"184","Marián Mešina",20,44,NA,1962
"185","Paweł Gabryjańczyk",20,44,NA,1962
"186","Svatopluk Fučík",19,46,NA,1962
"187","*",19,46,NA,1962
"188","Walter Görgens",18,48,NA,1962
"189","*",18,48,NA,1962
"190","Paweł Urbański",18,48,NA,1962
"191","Dimco Dimitrov",15,51,NA,1962
"192","Dimitr Kasabov",15,51,NA,1962
"193","*",14,53,NA,1962
"194","Garabed Minasiev",13,54,NA,1962
"195","Jerzy Sztachelski",11,55,NA,1962
"196","*",6,56,NA,1962
"197","Genadiy Maloletkyn",39,1,"Gold",1963
"198","Rafael Sarkisyan",39,1,"Gold",1963
"199","Franc Dacar",39,1,"Gold",1963
"200","Aleksei Tolpigo",38,4,"Gold",1963
"201","László Zsidó",37,5,"Gold",1963
"202","Josef Daneš",35,6,"Gold",1963
"203","Anatoli Zaicev",35,6,"Gold",1963
"204","László Lovász",34,8,"Silver",1963
"205","Vladimir Fishman",34,8,"Silver",1963
"206","Ferenc Szidarovszky",33,10,"Silver",1963
"207","László Gerencsér",32,11,"Silver",1963
"208","József Pelikán",32,11,"Silver",1963
"209","George Lusztig",31,13,"Silver",1963
"210","Ivan Boljevski",31,13,"Silver",1963
"211","Anatoli Zvaignicev",30,15,"Silver",1963
"212","Patrik Fazekas",29,16,"Silver",1963
"213","Sergei Smirnov",29,16,"Silver",1963
"214","Peter Petek",28,18,"Silver",1963
"215","Gheorghe Eckstein",27,19,"Bronze",1963
"216","Kiril Andreev",27,19,"Bronze",1963
"217","Mila Mršević",27,19,"Bronze",1963
"218","Vladimir Zaimov",26,22,"Bronze",1963
"219","Gábor Corrádi",26,22,"Bronze",1963
"220","Endre Makai",25,24,"Bronze",1963
"221","Şerban Grigorescu",25,24,"Bronze",1963
"222","Jaroslav Zemánek",23,26,"Bronze",1963
"223","Rolf-Günter Riedel",23,26,"Bronze",1963
"224","Attila Máté",23,26,"Bronze",1963
"225","Bronisław Wajnryb",23,26,"Bronze",1963
"226","Svetoslav Biltchev",22,30,"Bronze",1963
"227","Uwe Kühler",22,30,"Bronze",1963
"228","Georgi Ganchev",21,32,"Bronze",1963
"229","Ulrich Schwarz",21,32,"Bronze",1963
"230","Henryk Toruńczyk",21,32,"Bronze",1963
"231","Tiberiu Spircu",21,32,"Bronze",1963
"232","?",20,36,NA,1963
"233","Cezary Ferens",20,36,NA,1963
"234","Svetlozar Rulinski",19,38,NA,1963
"235","Jacek Gancarzewicz",19,38,NA,1963
"236","Kristofor Kuzhuharov",18,40,NA,1963
"237","Rolf Thier",18,40,NA,1963
"238","?",18,40,NA,1963
"239","Haim Haimov",17,43,NA,1963
"240","Wolfgang Schulze",17,43,NA,1963
"241","Jerzy Jurkiewicz",16,45,NA,1963
"242","?",16,45,NA,1963
"243","?",16,45,NA,1963
"244","Ferenc Kalmar",16,45,NA,1963
"245","?",15,49,NA,1963
"246","?",15,49,NA,1963
"247","?",15,49,NA,1963
"248","Katica Stevanović",15,49,NA,1963
"249","?",14,53,NA,1963
"250","?",14,53,NA,1963
"251","Bernd Noack",14,53,NA,1963
"252","Marian Grudnicki",14,53,NA,1963
"253","Andrzej Szankowski",14,53,NA,1963
"254","Joachim Krell",13,58,NA,1963
"255","Ljubomir Pavlov",12,59,NA,1963
"256","Lutz Bernhardt",12,59,NA,1963
"257","Angel Muleshkov",10,61,NA,1963
"258","Marian Orłowski",7,62,NA,1963
"259","Stanko Vrščaj",7,62,NA,1963
"260","Valerijan Bjelik",2,64,NA,1963
"261","David Bernstein",42,1,"Gold",1964
"262","László Gerencsér",41,2,"Gold",1964
"263","László Lovász",39,3,"Gold",1964
"264","József Pelikán",39,3,"Gold",1964
"265","Tadeusz Figiel",39,3,"Gold",1964
"266","Genadiy Arhipov",39,3,"Gold",1964
"267","Yuri Matiashevich",38,7,"Gold",1964
"268","Pavel Bureš",36,8,"Silver",1964
"269","Tamara Marcisová",36,8,"Silver",1964
"270","Valeriy Alekseev",36,8,"Silver",1964
"271","István Berkes",35,11,"Silver",1964
"272","Octavian Bîscă",33,12,"Silver",1964
"273","Alexandru Vinea",32,13,"Silver",1964
"274","Wolfgang Klamt",31,14,"Silver",1964
"275","Marian Orłowski",31,14,"Silver",1964
"276","Viktor Urumov",31,14,"Silver",1964
"277","Avram Eskenazi",30,17,"Bronze",1964
"278","Vladimir Zaimov",30,17,"Bronze",1964
"279","Miloslav Znojil",30,17,"Bronze",1964
"280","Krzysztof Nowiński",30,17,"Bronze",1964
"281","Woicheh Patkaniowski",30,17,"Bronze",1964
"282","Mihai Kerciu",30,17,"Bronze",1964
"283","Tiberiu Spircu",30,17,"Bronze",1964
"284","Boris Ivlev",30,17,"Bronze",1964
"285","Aleksander Vilenkin",30,17,"Bronze",1964
"286","Manfred Brandt",29,26,"Bronze",1964
"287","Aleksander Florensov",29,26,"Bronze",1964
"288","Stanko Vrščaj",29,26,"Bronze",1964
"289","Jaroslav Zemánek",28,29,"Bronze",1964
"290","Endre Makai",28,29,"Bronze",1964
"291","Zbigniew Słodkowski",28,29,"Bronze",1964
"292","Svetoslav Biltchev",27,32,"Bronze",1964
"293","Monika Titze",27,32,"Bronze",1964
"294","Cevegmidin Mizhidorzh",27,32,"Bronze",1964
"295","Eleodor Popescu",27,32,"Bronze",1964
"296","Tamás Komor",26,36,NA,1964
"297","*",26,36,NA,1964
"298","*",26,36,NA,1964
"299","*",26,36,NA,1964
"300","Henryk Hecht",26,36,NA,1964
"301","Jan Grabowski",25,41,NA,1964
"302","Manfred Krüppel",25,41,NA,1964
"303","Iliya Rips",25,41,NA,1964
"304","Vladimir Popov",24,44,NA,1964
"305","Otto Trewendt",24,44,NA,1964
"306","Gábor Corrádi",24,44,NA,1964
"307","Bronisław Wajnryb",24,44,NA,1964
"308","*",24,44,NA,1964
"309","Josip Globevnik",24,44,NA,1964
"310","Boris Pachev",23,50,NA,1964
"311","Petr Pashkov",23,50,NA,1964
"312","Iordan Tabov",23,50,NA,1964
"313","*",22,53,NA,1964
"314","Róbert Freud",21,54,NA,1964
"315","*",21,54,NA,1964
"316","Ilona Zinke",20,56,NA,1964
"317","?",19,57,NA,1964
"318","Dimitr Nichev",18,58,NA,1964
"319","?",18,58,NA,1964
"320","Smilka Zdravkovska",18,58,NA,1964
"321","Boško Jovanović",17,61,NA,1964
"322","*",16,62,NA,1964
"323","Velimir Bole",16,62,NA,1964
"324","Dietrich Freitag",15,64,NA,1964
"325","*",15,64,NA,1964
"326","?",14,66,NA,1964
"327","*",14,66,NA,1964
"328","?",13,68,NA,1964
"329","*",13,68,NA,1964
"330","Bojan Popović",13,68,NA,1964
"331","Zoran Gonda",7,71,NA,1964
"332","Jerzy Gajewski",1,72,NA,1964
"333","László Lovász",40,1,"Gold, Special prize",1965
"334","Pavel Bleher",40,1,"Gold",1965
"335","Sergei Valander",39,3,"Gold",1965
"336","Andrei Zubkov",39,3,"Gold",1965
"337","Endre Makai",38,5,"Gold",1965
"338","József Pelikán",38,5,"Gold, Special prize",1965
"339","Anatoliy Pereseckiy",38,5,"Gold",1965
"340","Nicolai Shirokov",38,5,"Gold",1965
"341","Aleksander Karzanov",36,9,"Silver",1965
"342","Lajos Pósa",34,10,"Silver",1965
"343","Liliana Bucur",34,10,"Silver",1965
"344","David Preiss",32,12,"Silver",1965
"345","Krzysztof Nowiński",32,12,"Silver, Special prize",1965
"346","Aleksandru Bădescu",32,12,"Silver, Special prize",1965
"347","Dan Voiculescu",32,12,"Silver",1965
"348","Vasiliy Stoianovski",32,12,"Silver",1965
"349","István Berkes",31,17,"Silver",1965
"350","Iakov Weinstein",31,17,"Silver",1965
"351","Manfred Brandt",30,19,"Silver",1965
"352","Wolfgang Klamt",30,19,"Silver",1965
"353","Tamara Marcisová",29,21,"Bronze",1965
"354","Peter Enskonatus",29,21,"Bronze",1965
"355","Zenon Fortuna",29,21,"Bronze",1965
"356","Michał Misiurewicz",29,21,"Bronze",1965
"357","Octavian Bîscă",29,21,"Bronze",1965
"358","Walter Liepe",28,26,"Bronze",1965
"359","Miklós Laczkovich",28,26,"Bronze",1965
"360","György Elekes",27,28,"Bronze",1965
"361","Velimir Bole",27,28,"Bronze",1965
"362","Tadeusz Figiel",26,30,"Bronze",1965
"363","Eugen Popa",24,31,"Bronze",1965
"364","Bohuslav Sivák",22,32,"Bronze",1965
"365","Wilhelm Otto",22,32,"Bronze",1965
"366","Ion Saba Ştefănescu",22,32,"Bronze",1965
"367","Miroslav Ašić",22,32,"Bronze",1965
"368","Iordan Tabov",21,36,"Bronze",1965
"369","Miroslav Řezníček",20,37,"Bronze",1965
"370","Tadeusz Iwaniec",19,38,NA,1965
"371","Yuri Muraviev",19,38,NA,1965
"372","Boško Jovanović",19,38,NA,1965
"373","Andrzej Zarach",18,41,NA,1965
"374","Eleodor Popescu",18,41,NA,1965
"375","Šime Ungar",18,41,NA,1965
"376","Pavel Novotný",17,44,NA,1965
"377","Peter Raschkov",16,45,NA,1965
"378","Jura Charvát",16,45,NA,1965
"379","Timo Erkama",16,45,"Special prize",1965
"380","Ewa Ligocka",16,45,NA,1965
"381","Lytschesar Avramov",15,49,NA,1965
"382","Alfred Pfeiffer",14,50,NA,1965
"383","Igor Pavlin",14,50,NA,1965
"384","Monika Titze",13,52,NA,1965
"385","Djordje Dugošija",13,52,NA,1965
"386","Milan Štědrý",12,54,NA,1965
"387","Matti Lehtinen",12,54,NA,1965
"388","Enes Udovičić",12,54,NA,1965
"389","Djordje Vukomanović",12,54,NA,1965
"390","Mitko Dimitroff",11,58,NA,1965
"391","Radoslav Pavlov",11,58,NA,1965
"392","Jan Brodský",11,58,NA,1965
"393","Awgaanzeren Damdinsuren",11,58,"Special prize",1965
"394","Bjambashaw Dordsh",11,58,NA,1965
"395","Baterdene Scharaw",10,63,NA,1965
"396","Petko Kazandzhiev",9,64,NA,1965
"397","Marko Roczen",9,64,NA,1965
"398","Bajasgalan Cembelzogt",9,64,NA,1965
"399","Henryk Iwaniec",9,64,NA,1965
"400","Kai Brandstack",8,68,NA,1965
"401","Martti Ojalainen",8,68,NA,1965
"402","Sándor Szalay",8,68,NA,1965
"403","Lidia Vaštinska",7,71,NA,1965
"404","Riitta Hämäläinen",6,72,NA,1965
"405","Zezgee Dondow",6,72,NA,1965
"406","Jargai Gansuch",6,72,NA,1965
"407","Kaisa Holma",5,75,NA,1965
"408","Suwda Bat",5,75,NA,1965
"409","Murat Tochtoin",5,75,NA,1965
"410","Anko Nikolov",4,78,NA,1965
"411","Eija Piililä",4,78,NA,1965
"412","Kaija-Riitta Laanti",3,80,NA,1965
"413","Peter Enskonatus",40,1,"Gold",1966
"414","Walter Liepe",40,1,"Gold",1966
"415","Josef Richardt",40,1,"Gold",1966
"416","László Lovász",40,1,"Gold, Special prize",1966
"417","József Pelikán",40,1,"Gold, Special prize",1966
"418","Lajos Pósa",40,1,"Gold",1966
"419","Michał Misiurewicz",40,1,"Gold, Special prize",1966
"420","Dan Voiculescu",40,1,"Gold",1966
"421","Yuri Bogdanski",40,1,"Gold",1966
"422","Sabir Husein-Zade",40,1,"Gold",1966
"423","Andrei Marchenko",40,1,"Gold",1966
"424","Mihail Fokin",39,12,"Gold",1966
"425","Grigoriy Rosenblum",39,12,"Gold",1966
"426","Bohuslav Sivák",38,14,"Silver",1966
"427","Stefan Heinrich",38,14,"Silver",1966
"428","Tadeusz Figiel",38,14,"Silver, Special prize",1966
"429","Boris Matikainen",38,14,"Silver",1966
"430","Jovan Vukmirović",38,14,"Silver",1966
"431","Eugen Popa",37,19,"Silver",1966
"432","Aleksandar Torgašev",37,19,"Silver",1966
"433","Miklós Laczkovich",36,21,"Silver",1966
"434","Zenon Fortuna",36,21,"Silver",1966
"435","Tadeusz Iwaniec",36,21,"Silver",1966
"436","Reinhard Höppner",35,24,"Silver",1966
"437","Gert Siebert",35,24,"Silver",1966
"438","Henryk Iwaniec",35,24,"Silver",1966
"439","Georgi Gargov",34,27,"Silver",1966
"440","László Babai",34,27,"Silver, Special prize",1966
"441","Ludmila Krasteva",33,29,"Bronze",1966
"442","Edislaw Jacek Litwin",33,29,"Bronze",1966
"443","Aleksandru Bădescu",33,29,"Bronze",1966
"444","Bogdan Lungulescu",33,29,"Bronze",1966
"445","Aleksander Zaimskih",33,29,"Bronze",1966
"446","Jernej Polajnar",33,29,"Bronze",1966
"447","Petko Kazandzhiev",32,35,"Bronze",1966
"448","Vladimir Mihailov",32,35,"Bronze",1966
"449","Peter Mederly",32,35,"Bronze",1966
"450","László Surányi",32,35,"Bronze",1966
"451","Petr Kůrka",31,39,"Bronze",1966
"452","István Berkes",30,40,NA,1966
"453","?",30,40,NA,1966
"454","Djordje Dugošija",30,40,NA,1966
"455","Radenko Radkov",29,43,NA,1966
"456","Jiří Šmerk",29,43,NA,1966
"457","György Elekes",29,43,NA,1966
"458","?",29,43,NA,1966
"459","?",29,43,NA,1966
"460","Hristo Hristov",28,48,NA,1966
"461","Pavel Simeonov",28,48,NA,1966
"462","Pavel Vejvoda",27,50,NA,1966
"463","Tomo Pisanski",27,50,NA,1966
"464","Mihajlo Stefanović",27,50,NA,1966
"465","Konrad Schmüdgen",26,53,NA,1966
"466","Ludwig Staiger",26,53,NA,1966
"467","Janusz Kaniewski",26,53,NA,1966
"468","?",26,53,NA,1966
"469","Zygmunt Ratajczyk",25,57,NA,1966
"470","Sergei Liber",24,58,NA,1966
"471","Dechko Matev",22,59,NA,1966
"472","Jiří Rott",22,59,NA,1966
"473","Miroslav Kosina",20,61,NA,1966
"474","?",18,62,NA,1966
"475","Petr Němec",16,63,NA,1966
"476","Mirko Primc",16,63,NA,1966
"477","Slobodan Simić",16,63,NA,1966
"478","?",15,66,NA,1966
"479","?",14,67,NA,1966
"480","?",12,68,NA,1966
"481","?",9,69,NA,1966
"482","?",8,70,NA,1966
"483","?",7,71,NA,1966
"484","?",5,72,NA,1966
"485","Peter Georgiev",42,1,"Gold, Special prize",1967
"486","Christoph Bandt",42,1,"Gold",1967
"487","Stefan Heinrich",42,1,"Gold",1967
"488","Dan Voiculescu",42,1,"Gold",1967
"489","Aleksander Livshic",42,1,"Gold, Special prize",1967
"490","Simon Phillips Norton",41,6,"Gold, Special prize",1967
"491","Reinhard Höppner",39,7,"Gold",1967
"492","Viktor Turchaninov",39,7,"Gold",1967
"493","György Elekes",38,9,"Gold",1967
"494","László Surányi",38,9,"Gold",1967
"495","Andrei Suslin",38,9,"Gold",1967
"496","Mikhail Boshernican",37,12,"Silver",1967
"497","Malcolm John Williamson",36,13,"Silver",1967
"498","Gert Siebert",35,14,"Silver",1967
"499","Roberto Dvornicich",35,14,"Silver",1967
"500","Yuri Zharinov",35,14,"Silver",1967
"501","László Babai",34,17,"Silver",1967
"502","Eugen Popa",34,17,"Silver",1967
"503","Patrick Phair",34,17,"Silver",1967
"504","Ulrich Zähle",33,20,"Silver",1967
"505","György Hofmann",33,20,"Silver",1967
"506","Igor Krichever",32,22,"Silver",1967
"507","László Csirmaz",31,23,"Silver",1967
"508","Bohuslav Sivák",30,24,"Silver",1967
"509","Wolfgang Burmeister",30,24,"Silver",1967
"510","Radovan Gregor",29,26,"Bronze",1967
"511","Eugen Lungulescu",29,26,"Bronze",1967
"512","András Szűcs",28,28,"Bronze",1967
"513","Vlad Sergiescu",28,28,"Bronze",1967
"514","Bengt Ek",28,28,"Bronze",1967
"515","Michael Cullen",28,28,"Bronze",1967
"516","Anthony Davies",28,28,"Bronze",1967
"517","Pavel Polcar",27,33,"Bronze",1967
"518","Sergei Sobolev",27,33,"Bronze",1967
"519","János Pintz",26,35,"Bronze",1967
"520","Marco Margiocco",26,35,"Bronze",1967
"521","Zh. Dashdorzh",26,35,"Bronze",1967
"522","Tomo Pisanski",26,35,"Bronze",1967
"523","Vyacheslav Kharlamov",25,39,"Bronze",1967
"524","Dikran Dikranian",24,40,"Bronze",1967
"525","Tomáš Mašek",24,40,"Bronze",1967
"526","George Cameron Smith",24,40,"Bronze",1967
"527","Joachim Fritz",23,43,"Bronze",1967
"528","Zoltán Laborczi",23,43,"Bronze",1967
"529","Calin Pop",23,43,"Bronze",1967
"530","Per Lindberg",23,43,"Bronze",1967
"531","Stanisław Łojasiewicz",22,47,"Bronze",1967
"532","Dan Ralescu",22,47,"Bronze",1967
"533","David Garland",22,47,"Bronze",1967
"534","Slobodan Popović",22,47,"Bronze",1967
"535","Tomaž Slivnik",22,47,"Bronze",1967
"536","Petko Proinev",21,52,NA,1967
"537","Dimo Dimov",20,53,NA,1967
"538","Dragomir Tsakov",20,53,NA,1967
"539","Alberto Arosio",20,53,NA,1967
"540","*",20,53,NA,1967
"541","Jan Åman",20,53,NA,1967
"542","Fausto Guerini",19,58,NA,1967
"543","?",19,58,NA,1967
"544","*",18,60,NA,1967
"545","Robert Hill",18,60,NA,1967
"546","Aleksandar Ivić",18,60,NA,1967
"547","Milutin Obradović",18,60,NA,1967
"548","?",17,64,NA,1967
"549","Petr Kůrka",16,65,NA,1967
"550","Michael Benedicks",16,65,NA,1967
"551","Björn Dahlberg",15,67,NA,1967
"552","Diana Sganeva",14,68,NA,1967
"553","Didrik Söderberg",14,68,NA,1967
"554","Martin Macháček",13,70,NA,1967
"555","Werner Vogt",13,70,NA,1967
"556","?",13,70,NA,1967
"557","Radoslav Gojković",13,70,NA,1967
"558","?",12,74,NA,1967
"559","*",12,74,NA,1967
"560","Evgeni Popov",11,76,NA,1967
"561","Jan Kastl",11,76,NA,1967
"562","?",11,76,NA,1967
"563","Zvonko Kolarić",11,76,NA,1967
"564","?",10,80,NA,1967
"565","?",10,80,NA,1967
"566","Nils-Gunnar Brenning",10,80,NA,1967
"567","Erich Wiszt",9,83,NA,1967
"568","?",9,83,NA,1967
"569","?",9,83,NA,1967
"570","*",9,83,NA,1967
"571","Stefan Sanger",9,83,NA,1967
"572","*",8,88,NA,1967
"573","Georgi Dimov",7,89,NA,1967
"574","Roberto Gaetano",7,89,NA,1967
"575","?",7,89,NA,1967
"576","*",7,89,NA,1967
"577","?",6,93,NA,1967
"578","?",6,93,NA,1967
"579","Slobodan Simić",6,93,NA,1967
"580","?",5,96,NA,1967
"581","*",5,96,NA,1967
"582","?",4,98,NA,1967
"583","Guilio Zambon",3,99,NA,1967
"584","Tomáš Mašek",40,1,"Gold",1968
"585","Bohuslav Sivák",40,1,"Gold",1968
"586","Christoph Bandt",40,1,"Gold",1968
"587","Jürgen Gärtner",40,1,"Gold",1968
"588","Stefan Heinrich",40,1,"Gold",1968
"589","Ulrich Zähle",40,1,"Gold",1968
"590","László Babai",40,1,"Gold, Special prize",1968
"591","László Csirmaz",40,1,"Gold, Special prize",1968
"592","János Pintz",40,1,"Gold",1968
"593","Jerzy Dydak",40,1,"Gold",1968
"594","Barbu Rudolf Berceanu",40,1,"Gold",1968
"595","Ulf Persson",40,1,"Gold",1968
"596","Mikhail Blyudze",40,1,"Gold",1968
"597","Pavel Kurchanov",40,1,"Gold",1968
"598","Vladimir Ponomarenko",40,1,"Gold",1968
"599","Sergei Sobolev",40,1,"Gold",1968
"600","Wolfgang Burmeister",39,17,"Gold",1968
"601","Bolesław Szymański",39,17,"Gold",1968
"602","Valeriy Fedotov",39,17,"Gold",1968
"603","Simon Phillips Norton",39,17,"Gold",1968
"604","William Porterfield",39,17,"Gold",1968
"605","Malcolm John Williamson",39,17,"Gold, Special prize",1968
"606","László Lempert",38,23,"Silver",1968
"607","András Szűcs",38,23,"Silver",1968
"608","Viktor Kumarin",38,23,"Silver",1968
"609","Clifford Cocks",38,23,"Silver",1968
"610","John Scholes",38,23,"Silver",1968
"611","Dikran Dikranian",37,28,"Silver",1968
"612","Hans-Görg Roos",37,28,"Silver",1968
"613","Tadeusz Liszka",37,28,"Silver",1968
"614","Björn Frenckner",37,28,"Silver",1968
"615","László Kóczy",36,32,"Silver",1968
